"","elpd_diff","se_diff","elpd_waic","se_elpd_waic","p_waic","se_p_waic","waic","se_waic"
"scenario1",0,0,-9901.21763316637,2105.84218855794,4217.06374534025,1529.46402533424,19802.4352663327,4211.68437711587
"scenario3",-63898.8494548036,22772.325737213,-73800.06708797,24796.2561645416,49011.7981606266,18767.6838800483,147600.13417594,49592.5123290833
"scenario2",-171255.580993754,64116.0538163835,-181156.798626921,66132.039103257,163564.916872017,62214.0968073034,362313.597253841,132264.078206514
